Time,Total arrivals
1/1/1976,203000
2/1/1976,137000
3/1/1976,119000
4/1/1976,102100
5/1/1976,129000
6/1/1976,100200
7/1/1976,116700
8/1/1976,144200
9/1/1976,160600
10/1/1976,157700
11/1/1976,132100
12/1/1976,139900
1/1/1977,219600
2/1/1977,133500
3/1/1977,120800
4/1/1977,110300
5/1/1977,115900
6/1/1977,109000
7/1/1977,131400
8/1/1977,140200
9/1/1977,166900
10/1/1977,150500
11/1/1977,152600
12/1/1977,147100
1/1/1978,208500
2/1/1978,134700
3/1/1978,128600
4/1/1978,115800
5/1/1978,136000
6/1/1978,116200
7/1/1978,141700
8/1/1978,152800
9/1/1978,184000
10/1/1978,164800
11/1/1978,163100
12/1/1978,168600
1/1/1979,228000
2/1/1979,151100
3/1/1979,151000
4/1/1979,140500
5/1/1979,163600
6/1/1979,154200
7/1/1979,172100
8/1/1979,177400
9/1/1979,201100
10/1/1979,185200
11/1/1979,187100
12/1/1979,193500
1/1/1980,232200
2/1/1980,185600
3/1/1980,192900
4/1/1980,157700
5/1/1980,173500
6/1/1980,177900
7/1/1980,185500
8/1/1980,184800
9/1/1980,193300
10/1/1980,198500
11/1/1980,201200
12/1/1980,200700
1/1/1981,233200
2/1/1981,180100
3/1/1981,194800
4/1/1981,169800
5/1/1981,177800
6/1/1981,186400
7/1/1981,190900
8/1/1981,188500
9/1/1981,192600
10/1/1981,209300
11/1/1981,204600
12/1/1981,202800
1/1/1982,252300
2/1/1982,185100
3/1/1982,191000
4/1/1982,190500
5/1/1982,178600
6/1/1982,176200
7/1/1982,211900
8/1/1982,200800
9/1/1982,210600
10/1/1982,213400
11/1/1982,200400
12/1/1982,198900
1/1/1983,251200
2/1/1983,178300
3/1/1983,173600
4/1/1983,170300
5/1/1983,167400
6/1/1983,167100
7/1/1983,199000
8/1/1983,192000
9/1/1983,200000
10/1/1983,217900
11/1/1983,194500
12/1/1983,205600
1/1/1984,254200
2/1/1984,187900
3/1/1984,177700
4/1/1984,187600
5/1/1984,195500
6/1/1984,186600
7/1/1984,213000
8/1/1984,206300
9/1/1984,239400
10/1/1984,239100
11/1/1984,224300
12/1/1984,231700
1/1/1985,281000
2/1/1985,221200
3/1/1985,220100
4/1/1985,195600
5/1/1985,209500
6/1/1985,205000
7/1/1985,221900
8/1/1985,229600
9/1/1985,258900
10/1/1985,267000
11/1/1985,249300
12/1/1985,250600
1/1/1986,303700
2/1/1986,237500
3/1/1986,242400
4/1/1986,224900
5/1/1986,224900
6/1/1986,224700
7/1/1986,254500
8/1/1986,269300
9/1/1986,277700
10/1/1986,294400
11/1/1986,291200
12/1/1986,294200
1/1/1987,346700
2/1/1987,277500
3/1/1987,264900
4/1/1987,259700
5/1/1987,247300
6/1/1987,240400
7/1/1987,316200
8/1/1987,307700
9/1/1987,303100
10/1/1987,368600
11/1/1987,326600
12/1/1987,334100
1/1/1988,384800
2/1/1988,314800
3/1/1988,313400
4/1/1988,300800
5/1/1988,278600
6/1/1988,301200
7/1/1988,386900
8/1/1988,354400
9/1/1988,360800
10/1/1988,416200
11/1/1988,357800
12/1/1988,371400
1/1/1989,417200
2/1/1989,342800
3/1/1989,331400
4/1/1989,319500
5/1/1989,274000
6/1/1989,301200
7/1/1989,393300
8/1/1989,339800
9/1/1989,355400
10/1/1989,409600
11/1/1989,363300
12/1/1989,383600
1/1/1990,452800
2/1/1990,371600
3/1/1990,343700
4/1/1990,357700
5/1/1990,309900
6/1/1990,324600
7/1/1990,417800
8/1/1990,379700
9/1/1990,386900
10/1/1990,439700
11/1/1990,374400
12/1/1990,399400
1/1/1991,462100
2/1/1991,350100
3/1/1991,350000
4/1/1991,306900
5/1/1991,308800
6/1/1991,342200
7/1/1991,427600
8/1/1991,388000
9/1/1991,400100
10/1/1991,459600
11/1/1991,406700
12/1/1991,415300
1/1/1992,477800
2/1/1992,412300
3/1/1992,375700
4/1/1992,379300
5/1/1992,342000
6/1/1992,342000
7/1/1992,462400
8/1/1992,403500
9/1/1992,408200
10/1/1992,491600
11/1/1992,440700
12/1/1992,454600
1/1/1993,538200
2/1/1993,431000
3/1/1993,415000
4/1/1993,405600
5/1/1993,379400
6/1/1993,377700
7/1/1993,491900
8/1/1993,437700
9/1/1993,439200
10/1/1993,534700
11/1/1993,464400
12/1/1993,494500
1/1/1994,549000
2/1/1994,488600
3/1/1994,480900
4/1/1994,440400
5/1/1994,385800
6/1/1994,414600
7/1/1994,546000
8/1/1994,472500
9/1/1994,486000
10/1/1994,573300
11/1/1994,501900
12/1/1994,547100
1/1/1995,615700
2/1/1995,523800
3/1/1995,498100
4/1/1995,499300
5/1/1995,434700
6/1/1995,462400
7/1/1995,603800
8/1/1995,525500
9/1/1995,520000
10/1/1995,613300
11/1/1995,550600
12/1/1995,603400
